aX,aY,aZ,gX,gY,gZ
-0.345,0.661,-2.163,-10.193,38.086,-148.071

-2.01,0.562,-0.975,-154.602,84.29,-151.794
-2.645,0.763,-0.387,-186.34,64.636,-136.23
-2.859,0.946,-0.08,-151.489,82.092,-62.744
-2.663,1.049,-0.048,-151.794,68.359,-12.939
-2.221,1.004,0.561,-148.743,57.861,49.744
-1.702,1.026,0.644,-103.333,92.59,88.745
-1.142,1.008,0.243,-69.946,116.76,109.07
-1.102,1.003,0.366,-97.961,88.623,100.037
-1.25,0.931,0.75,-109.314,74.036,113.403
-1.094,0.846,0.844,-95.337,77.576,126.099
-1.036,0.84,1.01,-81.238,70.801,135.193
-0.77,0.757,1.148,-68.42,74.707,155.029
-0.223,0.792,0.969,-45.837,76.538,148.804
-0.133,0.744,1.306,-63.293,64.758,138.977
0.17,0.749,1.468,-39.246,38.94,124.023
0.166,0.719,1.658,-33.264,20.813,120.361
0.268,0.72,1.677,-2.625,3.601,139.526
0.781,0.597,1.807,16.541,-16.724,144.287
1.196,0.552,1.641,55.298,-37.415,118.225
1.312,0.514,1.411,60.425,-58.228,90.637
1.123,0.437,1.388,77.515,-78.369,74.89
1.215,0.306,1.087,84.839,-122.681,69.214
1.29,0.218,0.885,92.834,-170.898,36.377
1.193,0.17,0.58,83.984,-194.885,4.089
0.836,0.221,0.498,81.116,-198.547,-27.161
0.454,0.341,0.028,112.732,-180.481,-39.185
0.397,0.43,-0.441,127.869,-160.278,-32.959
0.871,0.494,-1.089,104.858,-146.118,-32.593
0.908,0.544,-1.135,61.279,-148.987,-64.941
0.66,0.599,-0.976,28.687,-130.432,-105.042

-0.17,0.616,-1.452,-39.734,-123.84,-170.227
-0.174,0.646,-1.47,-78.857,-144.409,-160.217
-0.367,0.735,-1.395,-90.698,-52.734,-165.955
-0.658,0.83,-1.748,-86.121,34.668,-165.955
-0.894,0.842,-1.759,-122.925,102.966,-144.104
-0.854,0.78,-1.471,-148.254,113.342,-131.47
-0.971,0.715,-1.1,-173.889,106.262,-123.718
-1.064,0.71,-0.631,-187.439,72.083,-117.126
-1.217,0.662,-0.083,-179.565,55.786,-109.253
-1.467,0.697,-0.009,-162.476,72.144,-106.812
-2.022,0.695,-0.185,-172.424,122.314,-81.604
-2.058,0.603,0.706,-188.538,146.545,-55.725
-2.575,0.755,1.229,-161.621,145.813,-40.405
-2.469,0.914,1.584,-146.24,88.745,-2.991
-2.112,1.047,1.491,-104.675,68.176,45.898
-2.025,1.09,1.518,-94.055,72.205,68.726
-1.511,1.034,1.644,-64.026,59.631,114.624
-1.156,0.982,1.464,-35.95,68.298,128.967
-0.865,0.95,1.287,-23.071,53.345,141.113
-0.743,0.944,1.352,-16.052,40.161,148.56
-0.547,0.875,1.454,-4.272,35.95,163.269
-0.342,0.811,1.576,5.188,7.08,169.434
-0.01,0.777,1.615,26.855,-19.531,171.387
0.261,0.68,1.49,35.645,-28.259,174.255
0.716,0.494,1.858,42.908,-113.892,168.64
1.024,0.495,1.524,85.571,-99.243,147.156
1.201,0.436,1.146,102.844,-108.093,125.244
1.346,0.387,0.999,113.464,-125.244,114.502
1.405,0.248,0.668,114.197,-127.014,89.172
1.446,0.201,0.57,110.962,-172.302,71.533
