aX,aY,aZ,gX,gY,gZ
0.059,-1.026,0.155,-2.136,-1.404,-15.015
0.038,-0.981,0.149,1.587,-3.357,-15.93
0.078,-0.949,0.185,-1.892,-4.761,-15.442
0.101,-0.941,0.188,-9.521,-2.93,-12.573
0.113,-0.957,0.178,-15.625,0.244,-12.634
0.085,-1.003,0.153,-16.907,6.47,-14.038
0.077,-0.99,0.166,-18.799,8.301,-11.902

0.173,-0.98,-0.038,5.188,-3.296,-23.987
0.144,-0.942,-0.019,8.606,-1.648,-26.55
0.228,-0.877,-0.042,9.094,-1.343,-25.574
0.284,-0.89,-0.059,4.333,-2.808,-25.879
0.296,-0.942,-0.074,-1.892,-2.686,-26.123
0.248,-0.969,-0.059,-6.287,-3.54,-30.762
0.214,-0.992,-0.061,-9.399,-8.301,-29.602
0.228,-0.996,-0.074,-10.681,-11.108,-28.687
0.225,-0.979,-0.057,-12.512,-13.489,-25.269
0.265,-1.01,-0.042,-11.78,-12.817,-24.17
0.263,-0.986,-0.035,-11.047,-11.292,-20.63
0.277,-0.993,-0.034,-8.606,-11.78,-15.869
0.306,-0.992,-0.038,-7.996,-13.0,-11.597
0.288,-0.985,-0.03,-8.545,-14.16,-10.132
0.3,-0.989,-0.024,-12.695,-15.808,-12.268
0.34,-0.993,-0.018,-12.634,-15.015,-11.902
0.354,-1.008,0.01,-9.216,-10.803,-12.329
0.352,-0.991,0.01,-5.249,-5.005,-13.672
0.319,-0.954,0.005,-2.441,-1.038,-7.08
0.335,-0.948,0.015,-3.54,-2.991,-0.366
0.323,-0.984,-0.005,-6.104,-5.493,-0.244
0.329,-1.018,0.007,-10.62,-7.263,-6.47
0.315,-1.007,-0.004,-9.521,-2.136,-9.521
0.319,-1.002,-0.006,-7.141,3.052,-8.362
0.357,-0.955,-0.024,2.197,13.489,-0.977
0.328,-0.861,-0.049,0.61,14.771,4.578
0.329,-0.879,-0.038,-10.254,2.014,-0.305
0.351,-0.912,-0.035,-14.587,-0.305,-6.897
0.279,-0.912,-0.044,-16.663,-3.662,-7.629
0.272,-0.92,-0.043,-15.137,-0.549,-3.052

0.207,-1.025,-0.01,-22.583,-10.01,-8.545
0.211,-1.019,-0.016,-23.56,-9.094,-6.042
0.208,-1.066,-0.021,-23.926,-8.301,-7.385
0.21,-1.056,-0.025,-20.691,-7.324,-8.423
0.224,-1.01,-0.009,-19.531,-5.493,-11.353
0.236,-0.979,-0.021,-17.395,-4.578,-11.597
0.25,-0.939,-0.004,-17.029,-2.625,-11.902
0.263,-0.92,-0.014,-18.616,-0.671,-11.719
0.236,-0.916,-0.0,-20.508,0.793,-6.592
0.221,-0.911,-0.016,-20.996,1.587,-4.7
0.212,-0.931,-0.014,-21.118,-0.549,1.709
0.185,-0.918,-0.031,-19.348,-1.099,4.822
0.198,-0.924,-0.035,-18.494,-4.089,4.15
0.194,-0.903,-0.041,-17.212,-5.493,5.737
0.167,-0.896,-0.059,-16.296,-8.057,9.155
0.185,-0.918,-0.052,-17.456,-10.681,11.536
