aX,aY,aZ,gX,gY,gZ
-0.04,0.008,1.053,-14.709,-1.343,8.118
-0.036,-0.017,1.021,-13.855,-1.221,7.446
-0.022,-0.02,1.034,-15.137,-3.296,6.592

-0.94,-0.135,-0.263,-28.137,-3.662,-12.817
-0.911,-0.133,-0.297,-28.687,-3.052,-12.573
-0.928,-0.156,-0.273,-28.687,-4.456,-12.817
-0.953,-0.176,-0.27,-27.954,-2.38,-13.123
-0.954,-0.163,-0.274,-25.818,-2.991,-12.634
-0.967,-0.157,-0.263,-26.489,-3.601,-11.292
-0.952,-0.154,-0.271,-25.94,-1.404,-9.155
-0.91,-0.163,-0.276,-25.574,-3.418,-7.935
-0.921,-0.181,-0.265,-23.743,-3.845,-8.911
-0.892,-0.179,-0.293,-24.658,-6.47,-10.925
-0.905,-0.171,-0.274,-24.292,-7.751,-12.146
-0.946,-0.155,-0.288,-24.963,-6.104,-12.695
-0.958,-0.167,-0.248,-25.33,-4.333,-11.169
-0.941,-0.163,-0.265,-23.56,-5.798,-9.338
-0.951,-0.165,-0.261,-23.621,-5.859,-9.338
-0.931,-0.164,-0.278,-23.926,-6.104,-7.935
-0.911,-0.161,-0.281,-24.048,-4.089,-8.362
-0.927,-0.14,-0.294,-24.353,-4.639,-9.033
-0.92,-0.135,-0.28,-23.682,-4.333,-8.301
-0.93,-0.142,-0.27,-24.719,-3.418,-7.996
-0.929,-0.134,-0.265,-24.658,-3.418,-7.812
-0.913,-0.137,-0.26,-24.048,-6.592,-8.545
-0.92,-0.127,-0.267,-22.644,-3.906,-9.399
-0.93,-0.122,-0.282,-23.743,-4.517,-9.46
-0.921,-0.112,-0.278,-24.475,-1.892,-8.484
-0.914,-0.129,-0.276,-26.611,-2.319,-8.606
-0.907,-0.137,-0.258,-26.306,-1.221,-9.033
-0.923,-0.122,-0.272,-25.33,-2.197,-11.536
-0.945,-0.135,-0.248,-24.353,-3.54,-11.353
-0.963,-0.121,-0.258,-24.719,-4.883,-10.864

-0.936,-0.001,-0.292,-19.043,-5.432,-13.184
-0.941,0.003,-0.305,-21.057,-3.906,-13.245
-0.946,0.006,-0.293,-19.714,-1.282,-12.634
-0.949,-0.004,-0.274,-20.508,-1.099,-9.338
-0.925,0.013,-0.281,-20.63,-0.122,-8.118
-0.9,-0.004,-0.287,-20.752,-0.61,-9.277
-0.922,-0.021,-0.286,-19.592,-2.991,-10.559
-0.948,-0.014,-0.293,-19.043,-3.174,-10.986
-0.937,0.013,-0.301,-19.836,-3.357,-9.033
-0.938,0.013,-0.31,-20.935,-2.014,-7.141
-0.922,0.002,-0.332,-21.423,-1.709,-6.165
-0.925,0.01,-0.324,-22.949,3.479,-5.432
-0.923,-0.006,-0.324,-23.743,2.869,-5.859
-0.929,0.011,-0.33,-22.888,-1.099,-6.409
-0.936,0.004,-0.324,-21.973,-1.221,-5.798
-0.94,0.008,-0.315,-21.423,-0.427,-6.409
-0.959,0.003,-0.323,-22.705,-0.427,-5.798
-0.941,0.009,-0.326,-22.949,-1.343,-5.92
-0.935,-0.007,-0.316,-23.071,0.0,-5.676
-0.914,-0.004,-0.327,-24.841,-0.854,-7.812
