aX,aY,aZ,gX,gY,gZ
-1.807,-1.651,0.191,72.571,-122.192,-347.473
-3.082,-2.502,0.048,-4.211,-89.478,-243.53
-3.98,-2.711,0.433,-36.743,-39.551,-166.138

-2.185,-1.21,1.682,91.37,30.762,368.103
-0.713,-0.318,1.122,71.899,96.924,379.15
0.745,0.832,0.325,4.028,199.524,290.283
1.76,1.755,0.68,-42.175,223.572,199.585
2.975,2.305,-0.858,33.997,97.534,84.961
4.327,2.385,-2.049,33.325,17.517,-47.852
3.514,1.013,-1.573,-29.541,-70.679,-324.28
0.991,-0.505,-0.375,-49.683,-77.271,-452.698
-1.709,-1.72,0.769,-26.611,-131.042,-369.446
-2.228,-2.126,0.86,-6.714,-138.977,-269.592
-3.717,-2.587,1.014,-41.016,-61.279,-158.447
-4.468,-2.767,1.383,-53.589,-21.667,-61.768
-4.991,-2.331,2.068,-45.532,37.354,133.972
-4.18,-1.865,2.124,3.723,50.232,281.372
-2.118,-1.136,1.284,52.063,58.533,449.768
-0.327,-0.387,0.663,-0.488,162.17,431.458
0.778,0.58,0.698,-38.025,213.623,313.538
1.274,1.178,0.689,-26.489,188.232,229.126
2.351,1.593,-0.629,9.827,107.727,124.329
3.29,2.026,-1.134,-0.732,45.105,37.292
4.083,1.906,-1.412,-16.418,-77.698,-160.217
3.111,1.008,-0.807,-30.273,-99.365,-333.069
0.042,-0.563,0.481,-32.715,-54.81,-467.834
-1.843,-1.458,0.634,10.681,-99.792,-411.804
-3.349,-2.113,0.982,17.09,-115.051,-242.126
-3.836,-2.379,0.729,11.475,-95.581,-138.855
-4.882,-2.484,1.2,-13.611,-36.621,12.39
-4.796,-2.28,1.521,3.906,-11.963,144.653
-3.186,-1.538,1.455,43.396,18.433,319.946
-1.385,-0.837,0.843,44.373,51.514,378.052

1.913,1.71,2.0,23.254,142.456,-248.169
2.817,2.244,2.487,70.801,52.368,-201.233
3.611,2.651,2.819,69.092,-11.475,-110.107
3.556,2.452,2.798,28.564,-50.842,19.104
2.594,1.776,2.176,-73.608,-93.323,180.298
1.618,1.179,1.44,-114.136,-104.919,246.155
0.539,0.198,1.047,-135.925,-121.765,255.188
0.135,-0.106,0.514,-110.84,-132.69,218.811
-0.285,-0.621,0.135,-44.25,-180.298,157.043
-0.507,-1.023,-0.231,-21.179,-182.007,126.16
-1.103,-1.764,-1.293,-78.003,-78.613,91.248
-1.533,-2.02,-2.333,-127.563,45.471,44.495
-1.746,-1.693,-2.675,-54.871,168.03,-101.196
-1.308,-1.066,-1.625,23.438,203.613,-186.462
-0.433,-0.048,0.08,49.072,237.122,-223.938
-0.01,0.477,0.679,34.973,230.164,-242.126
1.093,1.357,1.69,71.35,161.804,-260.01
2.182,2.083,2.541,121.521,81.909,-268.127
3.552,3.006,3.22,161.56,-16.052,-194.946
3.732,3.08,3.306,156.494,-84.961,-70.557
2.931,2.407,2.847,33.569,-136.597,164.49
2.225,1.843,2.229,-50.232,-152.466,292.053
0.595,0.806,0.937,-107.91,-161.743,359.619
-0.242,-0.001,0.372,-85.876,-159.79,308.716
-0.945,-1.08,-0.074,2.502,-216.919,215.515
-1.32,-1.833,-0.553,-13.611,-194.397,172.791
-2.034,-2.677,-2.387,-93.018,-22.156,86.975
-2.186,-2.658,-2.889,-75.256,72.998,-29.419
-1.582,-1.706,-1.525,7.141,166.626,-194.031
-0.938,-0.785,-0.237,18.738,214.783,-244.873

0.681,-1.177,-0.417,2.625,-198.059,-186.218
