aX,aY,aZ,gX,gY,gZ
-0.133,0.207,1.003,-16.174,-5.310,-2.197
-0.140,0.197,1.004,-16.235,-6.653,-2.625
-0.140,0.204,1.002,-16.724,-5.737,-2.808

0.241,-0.079,-2.213,-48.645,-74.402,44.739
0.257,-0.177,-2.331,-69.092,-71.899,38.269
0.301,-0.337,-2.547,-126.465,-64.697,22.522
0.331,-0.419,-2.586,-160.095,-63.782,12.451
0.342,-0.587,-2.539,-230.408,-66.895,-10.071
0.300,-0.669,-2.469,-263.184,-73.608,-17.151
0.209,-0.888,-2.372,-322.083,-96.924,-20.630
0.243,-0.977,-2.412,-350.952,-111.328,-19.287
0.372,-1.211,-2.422,-424.133,-137.634,-34.424
0.446,-1.334,-2.304,-468.323,-149.597,-40.466
0.542,-1.579,-1.927,-548.828,-168.701,-43.030
0.561,-1.605,-1.794,-581.177,-182.617,-39.368
0.735,-1.890,-1.382,-660.034,-191.711,-63.843
0.837,-2.291,-0.718,-737.183,-188.782,-101.563
0.872,-2.468,-0.353,-770.569,-183.167,-122.131
0.903,-2.780,0.451,-812.561,-158.691,-163.025
1.000,-2.890,0.916,-827.148,-143.555,-177.063
1.187,-3.124,2.214,-798.279,-168.213,-190.063
1.202,-3.115,2.785,-768.799,-202.026,-173.035
1.392,-2.653,4.035,-694.458,-292.236,-114.868
0.903,-2.545,4.431,-550.049,-325.867,-93.384
0.433,-2.492,4.190,-491.211,-307.922,-93.201
-0.369,-2.224,3.720,-443.848,-165.283,-77.759
-0.384,-1.846,3.744,-443.848,-81.238,-66.650
-0.515,-0.985,4.031,-427.368,135.254,-31.128
-0.367,-0.602,3.948,-365.601,60.486,-48.523
-0.096,-0.117,3.675,-268.494,36.072,-25.024
-0.022,-0.064,3.409,-203.552,4.150,-16.602
-0.062,-0.039,2.889,-112.671,-57.068,-14.526
-0.114,-0.025,2.732,-83.557,-68.787,-13.184
-0.239,-0.074,2.443,-34.485,-67.261,-9.644
-0.244,-0.107,2.311,-17.395,-60.364,-6.775
-0.393,-0.059,2.150,7.629,-66.650,-10.193
-0.381,-0.054,2.044,19.531,-66.833,-2.686
-0.324,-0.030,1.805,37.659,-45.532,7.568
-0.317,-0.037,1.672,41.016,-32.837,7.629
-0.292,-0.000,1.389,46.448,-14.526,8.057
-0.262,0.017,1.270,46.875,-9.827,8.301
-0.247,0.033,1.143,45.715,-4.639,5.981
-0.253,0.042,0.984,36.316,-5.554,2.747
-0.220,0.055,0.969,30.090,-9.766,-0.122
-0.192,0.071,0.944,16.357,-12.756,-4.883
-0.194,0.058,0.961,8.911,-9.094,-8.606
-0.230,0.052,0.999,2.441,-3.845,-12.878
-0.273,0.061,1.093,-8.972,5.676,-19.104
-0.303,0.060,1.125,-11.292,12.207,-19.836
-0.334,0.080,1.190,-15.747,16.907,-15.503
-0.332,0.087,1.188,-13.306,15.869,-13.245
-0.320,0.100,1.177,-9.888,15.259,-8.972
-0.293,0.113,1.153,-6.714,14.771,-5.798
-0.283,0.118,1.119,-3.540,14.587,-4.883
-0.229,0.100,1.077,-3.296,13.428,1.587
-0.179,0.105,1.060,-3.967,9.277,4.333
-0.136,0.120,1.058,-4.395,9.338,3.784
-0.103,0.124,1.051,-3.174,6.470,2.502
-0.082,0.110,1.037,-2.563,5.737,2.014
-0.066,0.119,1.017,-1.587,4.700,0.793
-0.042,0.114,1.001,-4.700,-0.122,-1.404
-0.051,0.116,1.006,-4.944,-1.221,-2.197
-0.077,0.115,0.998,-5.371,1.770,-6.592
-0.105,0.123,0.998,-6.042,4.639,-9.583
-0.134,0.123,0.998,-7.507,8.179,-12.085
-0.160,0.107,0.982,-7.507,11.719,-12.268
-0.169,0.115,0.978,-4.578,12.817,-10.925
-0.163,0.094,0.946,-6.714,12.329,-10.498
-0.165,0.110,0.953,-7.690,13.184,-10.010
-0.147,0.134,0.959,-7.812,10.986,-8.118
-0.153,0.135,0.964,-7.629,9.216,-9.338
-0.150,0.128,0.935,-6.592,7.324,-8.972
-0.193,0.115,0.862,-8.179,2.930,-7.751
-0.175,0.118,0.865,-12.451,-1.160,-4.333
-0.153,0.136,0.873,-15.930,-3.418,-2.869
-0.160,0.149,0.900,-19.043,-7.141,-6.531
-0.191,0.145,0.914,-19.653,-7.141,-7.324
-0.231,0.145,0.939,-21.667,-3.235,-9.766
-0.239,0.141,0.951,-22.034,1.770,-9.460
-0.240,0.142,0.994,-22.705,5.371,-8.667
-0.244,0.152,1.008,-22.156,5.737,-8.362
-0.248,0.155,1.021,-20.691,5.188,-8.545
-0.255,0.124,0.989,-18.921,2.075,-7.202
-0.252,0.129,0.973,-19.531,-1.831,-4.822
-0.203,0.129,0.987,-17.700,-8.118,-0.977
-0.199,0.141,1.000,-18.311,-10.437,-1.648
-0.198,0.141,1.020,-17.639,-9.521,-3.479
-0.206,0.134,1.016,-17.090,-9.155,-5.310
-0.205,0.126,1.018,-16.357,-8.179,-4.028
-0.206,0.138,1.018,-16.357,-6.470,-4.517
-0.205,0.148,1.018,-17.517,-5.127,-5.493
-0.227,0.130,1.018,-16.907,-2.869,-5.615
-0.234,0.116,1.011,-15.442,-2.563,-5.737
-0.223,0.125,1.015,-16.724,-4.333,-1.160
-0.212,0.125,1.017,-14.099,-4.150,-2.136
-0.201,0.141,1.019,-15.259,-4.211,-1.770
-0.192,0.136,1.003,-13.611,-4.150,-1.343
-0.187,0.128,0.986,-13.855,-3.540,-1.892
-0.180,0.126,0.977,-14.343,-3.418,-3.723
-0.171,0.124,0.980,-14.465,-4.272,-2.380
-0.178,0.130,0.977,-16.235,-5.371,-3.723
-0.186,0.128,0.981,-16.968,-7.507,-4.089
