aX,aY,aZ,gX,gY,gZ
0.672,-0.571,1.353,-146.179,-8.362,-113.342
0.575,-0.445,1.573,-143.860,-24.231,-118.958
0.557,-0.422,1.626,-137.329,-30.701,-122.009
0.445,-0.382,1.703,-122.986,-31.677,-125.061
0.376,-0.418,1.685,-112.793,-29.724,-123.596
0.315,-0.574,1.554,-94.299,-26.611,-120.117
0.290,-0.651,1.474,-88.257,-19.714,-115.906
0.448,-0.762,1.353,-85.632,-2.136,-112.000
0.566,-0.797,1.341,-87.646,7.080,-120.422
0.679,-0.743,1.562,-95.581,33.325,-148.987
0.721,-0.661,1.655,-93.018,37.598,-156.860
0.643,-0.491,1.870,-66.528,55.664,-160.828
0.588,-0.512,1.917,-58.655,27.893,-163.269
0.552,-0.593,1.851,-47.119,-19.470,-153.564
0.508,-0.647,1.799,-36.011,-26.855,-141.846
0.375,-0.726,1.695,-18.921,-47.852,-121.887
0.388,-0.730,1.610,-12.573,-58.777,-117.371
0.396,-0.731,1.502,-8.606,-51.697,-118.469
0.361,-0.738,1.457,-9.216,-41.321,-118.774
0.353,-0.710,1.347,-6.470,-28.748,-103.210
0.384,-0.667,1.316,-4.517,-26.367,-89.172
0.512,-0.577,1.285,-6.470,-24.597,-79.773
0.564,-0.590,1.287,-7.324,-29.846,-85.022
0.586,-0.592,1.252,-5.798,-34.607,-94.299
0.630,-0.601,1.229,-3.418,-46.631,-106.323
0.556,-0.571,1.284,-3.479,-44.128,-109.619
0.398,-0.559,1.316,1.526,-40.527,-113.953
0.330,-0.579,1.339,6.165,-42.664,-115.662
0.248,-0.547,1.477,11.414,-37.781,-110.229
0.236,-0.517,1.390,13.794,-40.955,-99.304
0.217,-0.546,1.334,22.949,-24.475,-115.662
0.227,-0.510,1.322,24.780,-15.503,-112.061
0.250,-0.437,1.299,26.672,-5.554,-104.675
0.262,-0.437,1.276,30.212,-4.211,-102.478
0.191,-0.437,1.310,32.166,8.118,-93.567
0.167,-0.445,1.240,33.020,11.108,-81.726
0.172,-0.402,1.267,32.654,13.733,-70.618
0.224,-0.264,1.323,39.917,16.602,-71.533
0.198,-0.287,1.302,49.072,17.883,-78.735
0.165,-0.300,1.274,59.753,28.748,-74.707
0.209,-0.225,1.290,60.242,33.875,-70.618
0.199,-0.182,1.282,73.242,35.156,-72.754
0.155,-0.155,1.285,77.576,31.738,-70.251
0.156,-0.106,1.344,81.970,31.799,-68.359
0.093,-0.120,1.287,93.445,32.349,-62.378
0.109,-0.090,1.311,94.055,35.645,-60.730
0.219,0.077,1.404,100.159,51.147,-63.232
0.139,-0.107,1.307,112.427,60.181,-70.801
0.190,-0.038,1.334,113.281,77.942,-66.284
0.178,-0.021,1.328,117.065,87.097,-69.153
0.184,-0.024,1.328,124.878,93.872,-68.420
0.188,-0.053,1.315,134.521,105.957,-69.763
0.135,-0.047,1.324,139.465,112.366,-68.542
0.129,-0.056,1.286,145.813,122.070,-68.604
0.151,-0.088,1.257,145.996,125.488,-68.420
0.148,-0.017,1.243,137.390,127.686,-58.960
0.165,0.024,1.240,134.949,124.268,-52.124
0.166,0.081,1.164,130.981,112.488,-43.518
0.160,0.113,1.089,129.761,108.459,-41.565
0.194,0.243,1.038,122.925,113.281,-43.640
0.023,0.084,0.949,116.272,133.179,-58.167
-0.031,0.071,0.897,115.723,126.465,-40.955
-0.087,0.119,0.917,109.314,132.996,-42.358
-0.177,0.089,0.925,104.553,137.573,-41.260
-0.206,0.090,0.926,100.403,137.146,-34.180
-0.225,0.129,0.923,97.046,135.010,-21.667
-0.199,0.147,0.910,97.595,131.592,-18.005
-0.171,0.125,0.888,96.680,129.272,-13.062
-0.196,0.145,0.866,89.172,130.737,-7.568
-0.212,0.162,0.878,84.412,130.188,-3.906
-0.314,0.149,0.901,77.759,125.977,-0.549
-0.369,0.195,0.906,75.439,122.131,4.272
-0.491,0.231,0.906,69.336,120.422,8.423
-0.548,0.233,0.904,69.336,124.634,9.277
-0.603,0.253,0.921,65.796,128.296,10.681
-0.731,0.239,0.896,60.669,138.794,18.677
-0.737,0.283,0.868,62.317,144.653,26.611
-0.730,0.259,0.818,63.599,152.710,37.048
-0.728,0.237,0.778,62.378,158.325,38.147
-0.739,0.209,0.740,61.584,162.781,41.443
-0.684,0.186,0.703,52.734,166.870,52.673
-0.659,0.187,0.674,44.678,167.297,58.716
-0.593,0.076,0.664,23.682,154.846,70.129
-0.561,0.100,0.609,22.583,144.897,79.590
-0.499,0.089,0.470,13.000,120.056,86.731
-0.512,0.067,0.408,3.723,108.704,87.708
-0.521,0.057,0.354,-5.615,98.816,88.318
-0.502,0.059,0.310,-23.865,85.327,93.811
-0.497,0.086,0.295,-30.090,83.679,94.177
-0.511,0.066,0.246,-41.138,83.374,85.754
-0.543,0.042,0.256,-47.607,83.862,79.529
-0.556,0.018,0.261,-46.814,77.881,82.947
-0.522,0.010,0.311,-47.058,74.768,92.285
-0.484,0.029,0.362,-46.326,72.754,102.417
-0.394,0.066,0.416,-43.640,63.904,112.305
-0.360,0.031,0.432,-40.894,59.570,112.244
-0.371,-0.021,0.380,-49.133,59.448,103.943
-0.352,-0.027,0.342,-48.950,56.641,115.356
-0.320,-0.081,0.292,-60.913,41.138,125.671
-0.289,-0.070,0.281,-67.261,34.058,129.150
