aX,aY,aZ,gX,gY,gZ
-0.188,-0.131,1.013,-11.597,-11.597,-1.465
-0.180,-0.126,1.010,-12.024,-12.451,-1.465
-0.187,-0.117,0.999,-11.658,-12.085,-1.831
-0.218,-0.131,1.004,-13.062,-8.728,-2.686
-0.220,-0.121,1.011,-15.259,-7.019,-3.235

-0.611,1.122,0.787,-17.639,5.493,-13.794
-0.657,1.173,0.823,-18.372,5.554,-15.869
-0.690,1.215,0.839,-16.785,5.554,-17.578
-0.727,1.269,0.846,-14.587,3.662,-19.958
-0.746,1.248,0.836,-14.404,2.563,-21.423
-0.738,1.266,0.833,-14.587,-3.296,-19.043
-0.730,1.304,0.838,-13.794,-7.690,-15.015
-0.594,1.325,0.903,-13.855,-21.545,-12.756
-0.504,1.330,0.963,-13.977,-29.785,-12.634
-0.361,1.434,1.102,-13.184,-41.016,-12.756
-0.320,1.500,1.167,-10.620,-46.387,-18.005
-0.293,1.549,1.166,-5.249,-62.439,-37.598
-0.285,1.588,1.075,-1.221,-76.782,-45.898
-0.286,1.573,0.950,4.333,-116.821,-57.373
-0.351,1.572,0.669,2.625,-136.963,-62.317
-0.373,1.517,0.506,-3.601,-157.898,-65.796
-0.384,1.416,0.164,-20.813,-193.115,-66.223
-0.468,1.325,0.010,-35.278,-203.247,-60.303
-0.475,1.217,-0.318,-80.017,-207.764,-34.363
-0.495,1.102,-0.472,-97.839,-213.867,-11.353
-0.453,0.937,-0.577,-141.113,-195.251,24.658
-0.269,0.633,-0.661,-170.288,-165.894,55.298
-0.164,0.451,-0.694,-182.617,-146.667,68.054
0.039,0.001,-0.696,-199.280,-113.953,85.815
0.145,-0.297,-0.587,-204.407,-89.294,89.050
0.229,-0.908,-0.649,-198.181,-43.701,103.149
0.287,-1.382,-0.773,-197.388,-23.560,104.980
0.499,-2.152,-0.814,-212.524,-6.958,111.938
0.551,-2.681,-0.818,-220.703,-1.404,96.191
0.757,-3.285,-0.574,-270.508,-11.902,80.200
0.897,-3.316,-0.159,-302.490,2.563,51.941
0.514,-3.071,1.102,-326.050,66.711,1.160
0.286,-2.783,1.691,-307.312,121.277,-28.870
-0.596,-1.958,2.898,-273.926,274.658,-111.084
-0.962,-1.509,3.323,-241.394,312.683,-122.009
-1.194,-0.684,3.969,-173.889,271.545,-50.598
-0.934,-0.602,3.692,-106.873,109.192,-21.912
-0.051,-0.564,2.866,11.108,46.936,59.082
0.253,-0.604,2.227,55.786,9.216,50.598
0.500,-0.734,0.989,84.961,-77.087,20.752
0.365,-0.700,0.747,87.524,-96.069,2.625
0.138,-0.719,0.589,74.951,-102.539,-24.902
-0.467,-0.512,0.736,42.969,-61.340,-75.195
-0.750,-0.441,0.811,35.217,-39.307,-86.304
-0.986,-0.264,0.819,22.461,-11.169,-73.547
-1.000,-0.186,0.760,17.395,2.075,-61.707
-0.865,-0.054,0.725,15.503,23.193,-33.447
-0.775,-0.072,0.675,14.404,24.780,-18.372
-0.549,-0.146,0.639,4.150,26.733,-5.188
-0.469,-0.175,0.682,-2.563,28.564,-2.808
-0.428,-0.198,0.756,-13.000,30.029,-9.888
-0.466,-0.249,0.884,-17.578,21.790,-12.329
-0.481,-0.270,0.942,-21.912,11.475,-14.771
-0.521,-0.268,1.033,-27.771,-8.545,-18.188
-0.515,-0.248,1.060,-27.039,-15.076,-16.235
-0.515,-0.210,1.031,-24.048,-21.484,-11.108
-0.496,-0.206,1.019,-23.621,-22.034,-8.911
-0.450,-0.156,0.982,-20.874,-14.221,-2.380
-0.426,-0.162,0.953,-19.958,-10.193,-0.366
-0.365,-0.171,0.941,-22.522,-7.996,1.587
-0.330,-0.174,0.961,-27.283,-9.155,0.366
-0.301,-0.172,1.023,-28.137,-10.071,-1.587
-0.314,-0.184,1.053,-27.710,-12.085,-2.197
-0.293,-0.198,1.105,-25.879,-15.869,-0.610
-0.297,-0.203,1.136,-24.292,-14.465,-1.160
-0.285,-0.217,1.124,-18.555,-9.521,0.183
-0.294,-0.226,1.117,-18.616,-7.141,0.305
-0.300,-0.210,1.104,-16.541,5.920,1.343
-0.299,-0.194,1.108,-16.235,10.986,1.770
-0.284,-0.186,1.103,-15.015,11.536,1.343
-0.275,-0.169,1.050,-10.864,12.451,1.770
-0.280,-0.177,1.027,-10.925,10.315,1.099
-0.261,-0.167,1.005,-10.925,7.141,0.610
-0.256,-0.151,1.013,-12.390,4.395,-1.282
-0.270,-0.157,1.027,-10.742,0.183,-1.892
-0.266,-0.141,1.020,-11.292,-2.869,-3.906
-0.265,-0.149,1.024,-12.634,-3.052,-4.028
-0.288,-0.131,1.040,-12.268,-1.526,-4.395
-0.302,-0.132,1.054,-10.925,-1.282,-4.333
-0.307,-0.116,1.046,-7.996,-1.099,-3.174
-0.306,-0.116,1.045,-7.385,-1.648,-1.343
-0.275,-0.130,1.012,-5.554,-1.099,-0.305
-0.272,-0.125,1.011,-5.798,-0.610,-1.587
-0.263,-0.131,0.986,-7.507,-0.366,-1.587
-0.269,-0.125,0.979,-8.789,-0.610,-1.343
-0.283,-0.116,0.988,-8.606,-1.465,-1.404
-0.279,-0.111,0.993,-9.094,-2.441,-2.930
-0.272,-0.111,0.987,-8.606,-2.747,-2.563
-0.309,-0.100,0.967,-7.629,-0.854,-3.723
-0.314,-0.097,0.947,-9.216,-2.258,-3.174
-0.290,-0.108,0.943,-10.193,-4.272,-2.380
-0.288,-0.098,0.946,-12.512,-4.150,-2.319
-0.282,-0.096,0.943,-12.878,-1.770,-3.784
-0.305,-0.086,0.962,-13.733,0.061,-5.188
-0.305,-0.083,0.952,-13.000,1.404,-3.235
-0.316,-0.083,0.946,-14.099,0.549,-3.174
-0.322,-0.096,0.950,-14.221,-0.427,-3.418
-0.332,-0.098,0.932,-13.489,1.892,-2.991
-0.330,-0.106,0.950,-15.564,1.831,-1.343
-0.301,-0.106,0.968,-16.235,1.709,-0.549
-0.290,-0.095,0.983,-15.076,1.465,0.244
-0.288,-0.098,0.988,-15.198,0.732,-1.038
-0.298,-0.113,0.958,-12.146,0.183,-0.549
-0.295,-0.107,0.948,-13.489,-1.648,-1.038
-0.279,-0.099,0.954,-15.625,-3.662,-3.418
-0.273,-0.094,0.943,-14.099,-1.831,-3.052
-0.287,-0.098,0.935,-13.977,-0.854,-3.235
-0.297,-0.108,0.928,-13.733,0.244,-3.662
