aX,aY,aZ,gX,gY,gZ
-0.933,-0.791,1.350,-179.016,-114.380,-41.382
-1.038,-0.840,1.739,-163.513,-148.865,-28.809
-1.045,-0.848,1.863,-148.376,-171.143,-19.836
-1.085,-0.852,1.898,-111.084,-208.557,2.258
-1.105,-0.885,1.797,-92.224,-222.595,17.212
-1.062,-0.958,1.812,-69.336,-227.112,51.086
-0.970,-0.954,1.880,-60.120,-221.680,69.946
-0.687,-0.945,1.906,-35.950,-207.153,104.614
-0.462,-0.912,1.870,-24.963,-201.355,120.789
0.092,-0.863,1.734,-5.493,-189.087,145.020
0.542,-0.716,1.620,4.761,-186.951,157.043
0.906,-0.466,1.826,4.517,-205.566,139.343
1.056,-0.480,1.713,24.841,-186.401,157.410
1.178,-0.461,1.712,16.724,-165.405,130.310
1.204,-0.454,1.762,24.780,-156.921,132.690
1.202,-0.410,1.898,27.283,-140.991,123.718
1.207,-0.372,1.917,24.902,-129.822,116.150
1.175,-0.324,1.950,27.588,-79.346,114.441
1.182,-0.289,1.922,31.372,-60.059,115.906
1.235,-0.171,1.929,36.926,-21.667,115.173
1.321,-0.104,1.884,48.828,-19.104,117.004
1.383,0.001,1.755,63.721,-17.822,106.873
1.348,0.028,1.704,69.275,-19.226,99.854
1.324,0.059,1.629,75.134,-19.470,92.224
1.155,0.094,1.565,74.768,-8.179,76.233
1.075,0.111,1.539,78.003,-4.761,72.815
0.958,0.147,1.519,78.552,15.686,66.345
0.895,0.147,1.509,79.468,30.273,62.805
0.857,0.146,1.484,79.956,42.358,60.547
0.788,0.152,1.405,83.191,58.777,59.509
0.763,0.179,1.341,84.290,64.819,58.777
0.728,0.197,1.292,84.045,71.106,57.922
0.635,0.218,1.201,80.505,79.041,53.589
0.585,0.229,1.166,78.308,78.979,52.246
0.531,0.242,1.121,73.669,77.026,50.659
0.468,0.271,1.067,70.313,74.829,50.110
0.448,0.276,1.058,68.726,73.792,49.683
0.447,0.281,1.029,67.383,68.298,49.133
0.440,0.237,0.993,69.031,65.186,48.584
0.421,0.187,0.947,68.298,63.843,48.767
0.402,0.121,0.912,64.514,62.805,52.429
0.418,0.090,0.930,62.561,65.796,55.664
0.442,0.069,0.938,60.913,69.092,59.753
0.515,0.019,0.936,58.350,75.256,65.002
0.558,0.014,0.935,55.969,75.378,66.223
0.649,0.024,0.919,54.932,69.824,65.430
0.697,0.013,0.888,54.199,64.087,61.829
0.725,0.008,0.854,54.260,59.875,57.495
0.754,-0.000,0.812,50.293,45.166,46.265
0.753,0.004,0.810,47.485,37.476,38.757
0.750,0.000,0.795,45.166,30.151,32.288
0.720,0.012,0.791,39.978,16.846,20.264
0.661,-0.001,0.787,38.269,11.841,14.954
0.552,-0.029,0.779,34.058,9.766,9.644
