aX,aY,aZ,gX,gY,gZ
0.787,1.254,-0.623,-19.958,-127.014,142.883
1.189,1.313,-0.707,-26.550,-107.300,151.672
1.698,1.339,-0.766,-44.373,-87.646,122.803
1.658,1.320,-0.659,-57.861,-90.332,90.027
1.221,1.219,-0.338,-73.303,-97.107,37.354
0.976,1.196,-0.290,-73.669,-94.238,22.705
0.801,1.153,-0.270,-73.853,-90.515,18.921
0.639,1.073,-0.303,-73.792,-77.148,24.780
0.596,1.060,-0.329,-72.876,-69.336,30.090
0.591,1.012,-0.410,-72.937,-69.214,28.503
0.576,1.023,-0.378,-72.632,-71.655,26.001
0.590,1.027,-0.347,-73.486,-71.594,24.231
0.643,1.051,-0.343,-73.425,-70.251,24.597
0.708,1.121,-0.332,-74.158,-63.354,21.423
0.702,1.168,-0.358,-73.669,-60.303,18.372
0.660,1.209,-0.429,-78.247,-57.556,12.085
0.661,1.236,-0.472,-80.811,-55.664,11.108
0.682,1.241,-0.495,-83.862,-54.016,7.690
0.630,1.235,-0.603,-87.830,-47.180,4.395
0.565,1.249,-0.642,-93.201,-44.617,0.977
0.450,1.234,-0.657,-105.103,-32.410,0.854
0.383,1.226,-0.623,-112.854,-25.146,2.441
0.312,1.208,-0.445,-125.732,-14.771,9.766
0.311,1.207,-0.373,-128.174,-10.742,14.343
0.354,1.226,-0.302,-128.357,-8.240,16.724
0.411,1.234,-0.305,-128.967,-9.644,16.724
0.496,1.254,-0.321,-126.221,-7.019,16.479
0.661,1.303,-0.408,-124.512,-4.822,14.954
0.710,1.296,-0.431,-126.221,-3.174,11.902
0.802,1.300,-0.470,-130.066,-1.343,2.258
0.839,1.305,-0.522,-130.798,-4.028,-7.202
0.726,1.251,-0.494,-141.418,-16.357,-32.227
0.557,1.228,-0.447,-142.883,-17.761,-40.955
0.285,1.134,-0.356,-148.315,-24.231,-47.119
0.218,1.089,-0.320,-145.752,-27.100,-44.678
0.308,1.039,-0.278,-143.982,-26.917,-31.128
0.402,1.018,-0.281,-141.052,-23.437,-22.644
0.580,0.971,-0.233,-137.634,-19.897,-15.869
0.673,0.938,-0.179,-133.545,-17.517,-13.794
0.845,0.908,-0.153,-123.596,-10.742,-13.184
0.888,0.942,-0.210,-118.286,-7.629,-18.127
0.925,0.900,-0.207,-117.798,-18.005,-41.138
0.850,0.858,-0.092,-119.507,-31.067,-56.824
0.700,0.819,0.029,-110.107,-36.682,-68.298
0.641,0.806,0.050,-104.004,-38.513,-69.641
0.671,0.785,0.027,-90.881,-28.198,-60.181
0.732,0.809,-0.046,-86.121,-18.616,-55.664
0.796,0.772,-0.112,-83.496,0.671,-49.255
0.802,0.765,-0.140,-83.801,12.573,-47.424
0.744,0.714,-0.144,-86.609,41.809,-41.138
0.711,0.690,-0.141,-88.745,57.434,-36.194
0.694,0.669,-0.136,-94.910,89.417,-26.978
0.695,0.573,-0.036,-99.060,99.243,-26.550
0.693,0.546,0.021,-98.328,107.666,-25.757
0.649,0.487,0.083,-95.154,122.742,-28.564
0.592,0.454,0.114,-91.980,125.793,-31.494
0.568,0.397,0.170,-84.290,133.728,-31.433
0.591,0.394,0.156,-76.904,139.099,-30.823
0.511,0.363,0.095,-64.209,149.292,-34.241
0.485,0.356,0.068,-58.716,154.480,-33.569
0.482,0.302,0.037,-57.190,161.133,-35.034
0.458,0.306,0.031,-53.955,169.373,-35.339
0.423,0.271,0.024,-50.964,186.462,-35.400
0.297,0.213,0.064,-47.729,192.261,-36.072
0.227,0.169,0.097,-44.556,195.801,-36.865
0.020,0.066,0.181,-31.372,201.965,-37.537
-0.081,0.046,0.202,-23.193,205.139,-34.424
-0.291,-0.023,0.283,-6.409,200.500,-30.212
-0.379,0.008,0.222,4.883,203.064,-22.400
-0.422,0.087,0.313,13.306,198.669,-2.075
-0.294,0.082,0.182,31.006,202.026,13.062
-0.201,0.183,0.079,30.762,200.439,21.729
